filename,point_count
CA_GFA_v20240409_ignitions_2002.shp,349
CA_GFA_v20240409_ignitions_2003.shp,515
CA_GFA_v20240409_ignitions_2004.shp,378
CA_GFA_v20240409_ignitions_2005.shp,381
CA_GFA_v20240409_ignitions_2006.shp,549
CA_GFA_v20240409_ignitions_2007.shp,321
CA_GFA_v20240409_ignitions_2008.shp,500
CA_GFA_v20240409_ignitions_2009.shp,368
CA_GFA_v20240409_ignitions_2010.shp,287
CA_GFA_v20240409_ignitions_2011.shp,268
CA_GFA_v20240409_ignitions_2012.shp,241
CA_GFA_v20240409_ignitions_2013.shp,250
CA_GFA_v20240409_ignitions_2014.shp,302
CA_GFA_v20240409_ignitions_2015.shp,339
CA_GFA_v20240409_ignitions_2016.shp,201
CA_GFA_v20240409_ignitions_2017.shp,399
CA_GFA_v20240409_ignitions_2018.shp,409
CA_GFA_v20240409_ignitions_2019.shp,329
CA_GFA_v20240409_ignitions_2020.shp,483
CA_GFA_v20240409_ignitions_2021.shp,367
CA_GFA_v20240409_ignitions_2022.shp,160
CA_GFA_v20240409_ignitions_2023.shp,323
CA_GFA_v20240409_ignitions_2024.shp,13
