FIRE,MIN_NEAR_D,vegID,geomor1,aspect,slope,dem,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,tadem,pa,im,aridity
No,2980.841 ,12,39,106.928 ,89.994 ,684,-3.2667,14.7167,25.9096,1586.2969,23.8,-33,56.8,15.4333,-23.4,15.4333,-23.4,531,138,5,102.3371,339,17,339,17,-54,5201,1192,688
No,537.124 ,6,11,180.939 ,89.970 ,552,-3.9875,14.0083,25.3774,1573.8923,23,-32.2,55.2,14.9,-23.5333,14.9,-23.5333,552,142,5,101.8856,352,17,352,17,-54,5195,1179,691
No,2777.397 ,5,30,2.353 ,89.975 ,583,-3.1333,15.0833,26.141,1606.0728,24.2,-33.5,57.7,15.7167,-23.6,15.7167,-23.6,521,138,4,104.9853,338,14,338,14,-54,5192,1169,693
No,411.174 ,12,47,183.608 ,89.983 ,546,-3.0167,13.9333,24.9701,1608.7832,24.4,-31.4,55.8,16.15,-23.1,16.15,-23.1,506,129,5,101.1031,321,17,321,17,-39,5180,1147,697
No,1194.208 ,2,42,123.690 ,89.985 ,604,-2.9792,14.275,25.2208,1596.259,24,-32.6,56.6,15.7833,-23.2833,15.7833,-23.2833,527,135,5,100.0188,332,19,332,19,-31,5172,1128,701
No,957.568 ,6,35,348.059 ,89.998 ,685,-3.525,14.8333,26.3002,1566.6808,23.4,-33,56.4,14.9833,-23.3667,14.9833,-23.3667,533,140,4,105.159,347,14,347,14,-54,5174,1126,702
No,3154.825 ,6,42,339.311 ,89.995 ,701,-3.5417,14.1667,24.8975,1632.0565,24,-32.9,56.9,15.75,-24.1333,15.75,-24.1333,508,131,4,103.6914,328,13,328,13,-54,5170,1118,703
No,9624.272 ,6,42,22.810 ,89.984 ,383,-4.9625,14.4417,25.7427,1565.7878,22.2,-33.9,56.1,13.6667,-24.6833,13.6667,-24.6833,561,147,4,104.7087,365,14,365,14,-54,5167,1115,703
No,575.443 ,6,42,11.575 ,89.996 ,823,-4.0167,14.9833,26.4256,1573.5807,23.1,-33.6,56.7,14.5833,-23.95,14.5833,-23.95,538,142,4,104.586,350,15,350,15,-54,5139,1081,706
No,5182.160 ,6,38,191.310 ,89.996 ,677,-3.0208,14.025,24.9112,1593.5031,23.9,-32.4,56.3,15.7167,-23.2667,15.7167,-23.2667,530,136,4,101.5156,336,15,336,15,-42,5157,1091,709
No,3337.161 ,6,42,303.651 ,89.995 ,1011,-5.0583,14.65,26.0676,1561.2129,22,-34.2,56.2,13.4833,-24.75,13.4833,-24.75,554,150,3,108.4342,369,12,369,12,-53,5122,1052,710
No,1397.708 ,6,14,154.549 ,89.991 ,588,-2.9833,14.85,25.9615,1594.451,24.1,-33.1,57.2,15.7333,-23.3167,15.7333,-23.3167,529,138,5,103.748,341,16,341,16,-54,5163,1084,712
No,865.670 ,6,25,314.506 ,89.989 ,520,-3.3292,14.275,25,1644.6586,24.5,-32.6,57.1,16.1333,-24.0333,16.1333,-24.0333,496,125,4,101.7586,317,14,317,14,-53,5114,1037,713
No,5882.670 ,6,32,344.604 ,89.997 ,804,-4.5125,14.725,25.743,1598.2933,22.8,-34.4,57.2,14.3167,-24.8333,14.3167,-24.8333,542,142,4,104.0893,351,15,351,15,-54,5100,1020,715
No,7760.231 ,6,31,217.801 ,89.995 ,897,-4.5583,14.5,25.8929,1558.634,22.4,-33.6,56,13.95,-24.2167,13.95,-24.2167,549,146,4,106.0227,360,14,360,14,-53,5105,1026,715
No,6642.162 ,12,42,183.997 ,89.996 ,768,-3.2792,13.4417,24.4839,1583.0515,23.7,-31.2,54.9,15.65,-22.9667,15.65,-22.9667,534,136,5,99.5649,335,19,335,19,-54,5158,1072,715
No,5081.418 ,3,31,191.519 ,89.991 ,573,-4.3667,14.6833,26.6002,1528.8771,22.2,-33,55.2,13.8333,-23.5833,13.8333,-23.5833,559,149,5,104.9429,365,16,365,16,-53,5108,1017,717
No,8069.083 ,6,52,124.767 ,89.996 ,902,-4.2625,14.7417,25.8626,1587.0743,23,-34,57,14.4667,-24.4,14.4667,-24.4,537,143,4,105.6857,352,14,352,14,-53,5083,998,718
No,6622.282 ,6,42,332.904 ,89.981 ,841,-4.2583,14.8333,26.2073,1571.0822,22.8,-33.8,56.6,14.3167,-24.15,14.3167,-24.15,546,144,4,104.8123,356,15,356,15,-53,5094,1005,718
No,7693.797 ,6,42,72.448 ,89.994 ,942,-3.2292,14.475,24.3277,1741.1079,25.6,-33.9,59.5,17.0833,-20.6,17.0833,-25.3833,453,110,4,98.987,285,16,285,16,-53,5098,1008,718
No,1764.195 ,6,11,8.130 ,89.869 ,523,-3.1292,14.2083,25.1031,1594.9386,23.9,-32.7,56.6,15.65,-23.3833,15.65,-23.3833,527,137,4,102.8529,338,15,338,15,-45,5148,1056,718
No,1014.577 ,5,15,357.797 ,89.964 ,534,-1.175,14.7,25.4766,1625.3845,25.5,-32.2,57.7,17.6167,-18.1667,17.6167,-22.25,501,140,4,109.4228,331,14,331,14,-45,5146,1050,719
No,516.095 ,5,12,226.668 ,89.987 ,585,-3.55,14.9,25.6454,1627.459,24,-34.1,58.1,15.4667,-24.4,15.4667,-24.4,509,132,4,103.5535,329,15,329,15,-54,5075,984,720
No,4204.372 ,6,42,58.749 ,89.986 ,883,-2.8917,15.1,26.8206,1547.6211,23.8,-32.5,56.3,15.3833,-22.5,15.3833,-22.5,515,140,3,108.6814,343,12,343,12,-54,5127,1025,721
No,863.066 ,5,42,113.854 ,89.989 ,686,-3.1583,14.7667,26.0895,1577.4417,23.7,-32.9,56.6,15.4167,-23.2167,15.4167,-23.2167,530,141,4,105.4853,345,14,345,14,-53,5151,1043,721
No,1576.608 ,6,42,304.796 ,89.987 ,892,-4.2417,14.8833,26.0198,1592.9573,23,-34.2,57.2,14.5,-24.5167,14.5,-24.5167,534,141,4,104.9039,349,15,349,15,-53,5049,956,723
No,2588.091 ,6,42,0.971 ,89.992 ,722,-2.6542,14.2417,25.0734,1601.7753,24.3,-32.5,56.8,16.1333,-23.0833,16.1333,-23.0833,522,135,5,101.7256,332,16,332,16,-46,5143,1035,723
No,1518.496 ,5,23,133.686 ,89.994 ,711,-3.6292,15.0583,26.0525,1607.042,23.7,-34.1,57.8,15.1833,-24.1667,15.1833,-24.1667,516,136,4,104.6981,336,15,336,15,-53,5042,949,724
No,8779.143 ,5,21,83.290 ,89.982 ,668,-4.6375,14.1917,25.6167,1576.4648,22.6,-32.8,55.4,14.35,-24.15,14.35,-24.15,528,139,4,106.4434,348,13,348,13,-53,5050,953,724
No,2073.674 ,5,11,300.964 ,89.683 ,650,-3.9625,15.175,26.1188,1613.4296,23.4,-34.7,58.1,14.9,-24.6167,14.9,-24.6167,520,138,3,105.9488,340,12,340,12,-52,5035,942,725
No,3420.546 ,6,42,23.539 ,89.995 ,903,-4.5,14.3333,25.4589,1580.9706,22.7,-33.6,56.3,14.3,-24.45,14.3,-24.45,544,142,4,104.1082,351,14,351,14,-55,5114,1001,725
No,24.709 ,6,42,329.815 ,89.995 ,841,-3.0167,14.3833,25.4123,1619.3943,24.5,-32.1,56.6,16.1833,-23.3667,16.1833,-23.3667,509,129,5,100.1008,321,17,321,17,-54,5147,1030,725
No,1631.343 ,6,42,166.753 ,89.997 ,860,-3.9917,15,26.1324,1593.4636,23.4,-34,57.4,14.7833,-24.25,14.7833,-24.25,528,140,4,105.1748,346,15,346,15,-52,5027,933,726
No,12837.167 ,5,23,60.399 ,89.995 ,841,-4.3042,14.8417,26.222,1571.2379,22.9,-33.7,56.6,14.3167,-24.1667,14.3167,-24.1667,529,140,3,106.7609,349,12,349,12,-53,5033,935,726
No,2674.365 ,6,42,79.237 ,89.993 ,844,-4.1542,14.6917,26.003,1570.7098,23,-33.5,56.5,14.4667,-24,14.4667,-24,527,141,3,107.7023,350,12,350,12,-52,5029,933,726
